Postcode
AL100
AL108
AL109
AL1 1
AL1 2
AL1 3
AL1 4
AL1 5
AL2 1
AL2 2
AL2 3
AL3 4
AL3 5
AL3 6
AL3 7
AL3 8
AL4 0
AL4 8
AL4 9
AL5 1
AL5 2
AL5 3
AL5 4
AL5 5
AL6 0
AL6 9
AL7 1
AL7 2
AL7 3
AL7 4
AL8 6
AL8 7
AL9 5
AL9 6
AL9 7
B10 0
B10 9
B11 1
B11 2
B11 3
B11 4
B1  1
B12 0
B12 8
B12 9
B1  2
B13 0
B13 8
B13 9
B1  3
B14 4
B14 5
B14 6
B14 7
B15 1
B15 2
B15 3
B16 0
B16 8
B16 9
B17 0
B17 8
B17 9
B18 4
B18 5
B18 6
B18 7
B19 1
B19 2
B20 1
B20 2
B20 3
B21 0
B21 8
B21 9
B23 5
B23 6
B23 7
B24 0
B24 8
B24 9
B25 8
B2  5
B26 1
B26 2
B26 3
B27 6
B27 7
B28 0
B28 8
B28 9
B29 4
B29 5
B29 6
B29 7
B30 1
B30 2
B30 3
B31 1
B31 2
B31 3
B31 4
B31 5
B3  1
B32 1
B32 2
B32 3
B33 0
B33 8
B33 9
B34 6
B34 7
B35 6
B35 7
B36 0
B36 8
B36 9
B37 5
B37 6
B37 7
B38 0
B38 8
B38 9
B42 1
B43 5
B43 6
B43 7
B44 0
B44 8
B44 9
B45 0
B45 8
B45 9
B46 1
B46 2
B46 3
B4  6
B47 5
B47 6
B4  7
B48 7
B49 5
B49 6
B50 4
B5  4
B5  6
B5  7
B60 1
B60 2
B60 3
B60 4
B61 0
B61 7
B61 8
B61 9
B62 0
B62 8
B62 9
B63 1
B63 2
B63 3
B63 4
B64 5
B64 6
B64 7
B65 0
B65 8
B65 9
B6  5
B66 1
B66 3
B66 4
B6  6
B67 5
B67 6
B67 7
B6  7
B68 0
B68 8
B68 9
B69 1
B69 2
B69 3
B69 4
B70 0
B70 6
B70 7
B70 8
B70 9
B71 1
B71 2
B71 3
B71 4
B72 1
B73 5
B73 6
B74 2
B74 3
B74 4
B7  4
B75 5
B75 6
B75 7
B7  5
B76 1
B76 2
B76 9
B77 1
B77 2
B77 3
B77 4
B77 5
B78 1
B78 2
B78 3
B79 0
B79 7
B79 8
B79 9
B80 7
B8  1
B8  2
B8  3
